cluster install/upgrade/downgrade	MATCH	sig-cluster-lifecycle	catalog
cluster membership	MATCH	sig-etcd	catalog
cluster-api	MATCH	sig-cluster-lifecycle	catalog
cluster-autoscaler	MATCH	sig-autoscaling	catalog
cluster-autoscaler	MATCH	sig-autoscaling	handwritten:lep-0009-seed
cluster-autoscaler	NOT_MATCH	sig-apps	handwritten:lep-0009-seed
clusterloader	MATCH	sig-scalability	catalog
clusterset	MATCH	sig-multicluster	catalog
cni	MATCH	sig-network	catalog
cni	MATCH	sig-network	handwritten:lep-0009-seed
cni	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
code organization	MATCH	sig-architecture	catalog
community	MATCH	sig-contributor-experience	catalog
compaction	MATCH	sig-etcd	catalog
component config	MATCH	sig-cluster-lifecycle	catalog
conformance definition	MATCH	sig-architecture	catalog
conformance test mechanics	MATCH	sig-testing	catalog
container images)	MATCH	sig-release	catalog
containerd	MATCH	sig-node	handwritten:lep-0009-seed
containerd/cri-o runtime interface	MATCH	sig-node	catalog
contributor tooling	MATCH	sig-contributor-experience	catalog
controller reconciliation	MATCH	sig-apps	catalog
conversion	MATCH	sig-api-machinery	catalog
coredns	MATCH	sig-network	catalog
cpu/memory/topology manager	MATCH	sig-node	catalog
crds	MATCH	sig-api-machinery	catalog
credentials	MATCH	sig-auth	handwritten:lep-0009-seed
credentials	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
credentials	NOT_MATCH	sig-node	handwritten:lep-0009-seed
cri	MATCH	sig-node	catalog
cri	MATCH	sig-node	handwritten:lep-0009-seed
cronjob	MATCH	sig-apps	handwritten:lep-0009-seed
cronjob	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
cronjob controllers	MATCH	sig-apps	catalog
cross-cluster networking and discovery	MATCH	sig-multicluster	catalog
cross-cutting design	MATCH	sig-architecture	catalog
csi	MATCH	sig-storage	handwritten:lep-0009-seed
csi	NOT_MATCH	sig-node	handwritten:lep-0009-seed
csi drivers	MATCH	sig-storage	catalog
csr	MATCH	sig-auth	handwritten:lep-0009-seed
csr	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
csr	NOT_MATCH	sig-node	handwritten:lep-0009-seed
csr api	MATCH	sig-auth	catalog
custom metrics api	MATCH	sig-instrumentation	catalog
custom/external metrics scaling	MATCH	sig-autoscaling	catalog
customresourcedefinition	MATCH	sig-api-machinery	catalog
cve handling	MATCH	sig-security	catalog
daemonset	MATCH	sig-apps	catalog
daemonset	MATCH	sig-apps	handwritten:lep-0009-seed
daemonset	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
defragmentation	MATCH	sig-etcd	catalog
deployment	MATCH	sig-apps	catalog
deployment	MATCH	sig-apps	handwritten:lep-0009-seed
deployment	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
deprecation policy	MATCH	sig-architecture	catalog
detach	MATCH	sig-storage	handwritten:lep-0009-seed
detach	NOT_MATCH	sig-node	handwritten:lep-0009-seed
device plugin	MATCH	sig-node	handwritten:lep-0009-seed
device plugins	MATCH	sig-node	catalog
devstats	MATCH	sig-contributor-experience	catalog
dns	MATCH	sig-network	catalog
dns	MATCH	sig-network	handwritten:lep-0009-seed
dns	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
dual-stack	MATCH	sig-network	catalog
dynamic provisioning	MATCH	sig-storage	catalog
dynamic resource allocation (dra)	MATCH	sig-node	catalog
e2e test framework	MATCH	sig-testing	catalog
endpoints	MATCH	sig-network	catalog
endpointslice	MATCH	sig-network	catalog
endpointslice	MATCH	sig-network	handwritten:lep-0009-seed
endpointslice	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
ephemeral volumes	MATCH	sig-storage	catalog
etcd client/clientv3 behaviour	MATCH	sig-etcd	catalog
etcd data corruption	MATCH	sig-etcd	catalog
etcd operation	MATCH	sig-etcd	catalog
etcd performance and reliability as a datastore	MATCH	sig-etcd	catalog
etcd storage layer	MATCH	sig-api-machinery	catalog
event aggregation	MATCH	sig-instrumentation	catalog
events api	MATCH	sig-instrumentation	catalog
events api	MATCH	sig-instrumentation	handwritten:lep-0009-seed
events api	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
eviction	MATCH	sig-node	catalog
eviction	MATCH	sig-node	handwritten:lep-0009-seed
field selectors	MATCH	sig-api-machinery	catalog
filter/score	MATCH	sig-scheduling	catalog
flake triage	MATCH	sig-testing	catalog
gateway api	MATCH	sig-network	catalog
ginkgo/gomega mechanics	MATCH	sig-testing	catalog
github automation	MATCH	sig-contributor-experience	catalog
gpus	MATCH	sig-node	catalog
hardening	MATCH	sig-security	catalog
headless services	MATCH	sig-network	catalog
horizontalpodautoscaler	MATCH	sig-autoscaling	handwritten:lep-0009-seed
horizontalpodautoscaler	NOT_MATCH	sig-apps	handwritten:lep-0009-seed
horizontalpodautoscaler (hpa)	MATCH	sig-autoscaling	catalog
hostprocess containers	MATCH	sig-windows	catalog
hpa	MATCH	sig-autoscaling	handwritten:lep-0009-seed
hpa	NOT_MATCH	sig-apps	handwritten:lep-0009-seed
hugo doc builds	MATCH	sig-docs	catalog
image promotion	MATCH	sig-release	catalog
image pulling	MATCH	sig-node	catalog
in-tree to csi migration	MATCH	sig-storage	catalog
informers	MATCH	sig-api-machinery	catalog
ingress	MATCH	sig-network	catalog
ingress	MATCH	sig-network	handwritten:lep-0009-seed
ingress	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
instances	MATCH	sig-cloud-provider	catalog
ipv6	MATCH	sig-network	catalog
ipvs proxiers)	MATCH	sig-network	catalog
job	MATCH	sig-apps	catalog
job	MATCH	sig-apps	handwritten:lep-0009-seed
job	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
k8s-ci-robot	MATCH	sig-contributor-experience	catalog
kep governance	MATCH	sig-architecture	catalog
kind for testing	MATCH	sig-testing	catalog
klog	MATCH	sig-instrumentation	handwritten:lep-0009-seed
klog	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
kops	MATCH	sig-cluster-lifecycle	catalog
krew	MATCH	sig-cli	catalog
krew	MATCH	sig-cli	handwritten:lep-0009-seed
krew	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
kube-apiserver core	MATCH	sig-api-machinery	catalog
kube-proxy	MATCH	sig-network	handwritten:lep-0009-seed
kube-proxy	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
kube-proxy (iptables	MATCH	sig-network	catalog
kube-scheduler	MATCH	sig-scheduling	catalog
kubeadm certs/etcd management	MATCH	sig-cluster-lifecycle	catalog
kubeadm init/join/upgrade	MATCH	sig-cluster-lifecycle	catalog
kubeconfig	MATCH	sig-cli	handwritten:lep-0009-seed
kubeconfig	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
kubeconfig ux	MATCH	sig-cli	catalog
kubectl	MATCH	sig-cli	handwritten:lep-0009-seed
kubectl	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
kubectl commands and output formatting	MATCH	sig-cli	catalog
kubectl plugins	MATCH	sig-cli	catalog
kubefed	MATCH	sig-multicluster	catalog
kubelet	MATCH	sig-node	catalog
kubelet	MATCH	sig-node	handwritten:lep-0009-seed
kubelet cert rotation	MATCH	sig-auth	catalog
kubelet config	MATCH	sig-node	catalog
kubelet registration	MATCH	sig-cluster-lifecycle	catalog
kubernetes.io website content	MATCH	sig-docs	catalog
kustomize	MATCH	sig-cli	catalog
kustomize	MATCH	sig-cli	handwritten:lep-0009-seed
kustomize	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
large-cluster behavior	MATCH	sig-scalability	catalog
leases	MATCH	sig-etcd	catalog
list/watch	MATCH	sig-api-machinery	catalog
loadbalancer)	MATCH	sig-network	catalog
localization	MATCH	sig-docs	catalog
logging (klog	MATCH	sig-instrumentation	catalog
membership	MATCH	sig-contributor-experience	catalog
mentoring	MATCH	sig-contributor-experience	catalog
metrics	MATCH	sig-instrumentation	handwritten:lep-0009-seed
metrics	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
metrics (prometheus format)	MATCH	sig-instrumentation	catalog
metrics-server	MATCH	sig-instrumentation	catalog
metrics-server	MATCH	sig-instrumentation	handwritten:lep-0009-seed
metrics-server	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
mount	MATCH	sig-storage	catalog
mount	MATCH	sig-storage	handwritten:lep-0009-seed
mount	NOT_MATCH	sig-node	handwritten:lep-0009-seed
multi-cluster services (mcs) api	MATCH	sig-multicluster	catalog
networkpolicy	MATCH	sig-network	catalog
networkpolicy	MATCH	sig-network	handwritten:lep-0009-seed
networkpolicy	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
nftables	MATCH	sig-network	catalog
node authorizer	MATCH	sig-auth	catalog
node bootstrap	MATCH	sig-cluster-lifecycle	catalog
node lifecycle from cloud	MATCH	sig-cloud-provider	catalog
node status	MATCH	sig-node	catalog
nodeport	MATCH	sig-network	catalog
not release tooling)	MATCH	sig-security	catalog
oidc	MATCH	sig-auth	catalog
openapi	MATCH	sig-api-machinery	catalog
out-of-tree provider migration	MATCH	sig-cloud-provider	catalog
owners	MATCH	sig-contributor-experience	catalog
performance and scale tests	MATCH	sig-scalability	catalog
persistentvolume/persistentvolumeclaim	MATCH	sig-storage	catalog
placement	MATCH	sig-scheduling	handwritten:lep-0009-seed
placement	NOT_MATCH	sig-node	handwritten:lep-0009-seed
plugins	MATCH	sig-scheduling	catalog
pod lifecycle on node	MATCH	sig-node	catalog
pod networking	MATCH	sig-network	catalog
podsecurity admission	MATCH	sig-auth	catalog
preemption	MATCH	sig-scheduling	catalog
preemption	MATCH	sig-scheduling	handwritten:lep-0009-seed
preemption	NOT_MATCH	sig-node	handwritten:lep-0009-seed
priorities	MATCH	sig-scheduling	catalog
priorityclass	MATCH	sig-scheduling	catalog
probes	MATCH	sig-node	catalog
prometheus	MATCH	sig-instrumentation	handwritten:lep-0009-seed
prometheus	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
provisioning	MATCH	sig-storage	handwritten:lep-0009-seed
provisioning	NOT_MATCH	sig-node	handwritten:lep-0009-seed
prow	MATCH	sig-contributor-experience	catalog
pv	MATCH	sig-storage	handwritten:lep-0009-seed
pv	NOT_MATCH	sig-node	handwritten:lep-0009-seed
pvc	MATCH	sig-storage	handwritten:lep-0009-seed
pvc	NOT_MATCH	sig-node	handwritten:lep-0009-seed
rbac	MATCH	sig-auth	catalog
rbac	MATCH	sig-auth	handwritten:lep-0009-seed
rbac	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
rbac	NOT_MATCH	sig-node	handwritten:lep-0009-seed
reference/api docs generation	MATCH	sig-docs	catalog
release process	MATCH	sig-release	catalog
release-notes/changelog tooling	MATCH	sig-release	catalog
replicaset	MATCH	sig-apps	catalog
replicaset	MATCH	sig-apps	handwritten:lep-0009-seed
replicaset	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
resource management	MATCH	sig-node	catalog
resourceversion	MATCH	sig-api-machinery	catalog
restarts	MATCH	sig-node	catalog
reststorage	MATCH	sig-api-machinery	catalog
revisionhistory	MATCH	sig-apps	catalog
rolling update	MATCH	sig-apps	catalog
rollout	MATCH	sig-apps	catalog
rollout	MATCH	sig-apps	handwritten:lep-0009-seed
rollout	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
routes	MATCH	sig-cloud-provider	catalog
sbom	MATCH	sig-release	catalog
scalability thresholds	MATCH	sig-scalability	catalog
scheduling	MATCH	sig-scheduling	handwritten:lep-0009-seed
scheduling	NOT_MATCH	sig-node	handwritten:lep-0009-seed
scheduling framework	MATCH	sig-scheduling	catalog
secrets encryption at rest	MATCH	sig-auth	catalog
security posture	MATCH	sig-security	catalog
security response	MATCH	sig-security	catalog
securitycontext policy	MATCH	sig-auth	catalog
semver versioning	MATCH	sig-release	catalog
serialization (json/protobuf)	MATCH	sig-api-machinery	catalog
server-side apply	MATCH	sig-api-machinery	catalog
service	MATCH	sig-network	handwritten:lep-0009-seed
service	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
service (clusterip	MATCH	sig-network	catalog
serviceaccount	MATCH	sig-auth	catalog
serviceaccount	MATCH	sig-auth	handwritten:lep-0009-seed
serviceaccount	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
serviceaccount	NOT_MATCH	sig-node	handwritten:lep-0009-seed
signing	MATCH	sig-release	catalog
slos	MATCH	sig-scalability	catalog
snapshots	MATCH	sig-storage	catalog
staging repos	MATCH	sig-architecture	catalog
statefulset	MATCH	sig-apps	catalog
statefulset	MATCH	sig-apps	handwritten:lep-0009-seed
statefulset	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
storageclass	MATCH	sig-storage	catalog
storageclass	MATCH	sig-storage	handwritten:lep-0009-seed
storageclass	NOT_MATCH	sig-node	handwritten:lep-0009-seed
structured logging	MATCH	sig-instrumentation	handwritten:lep-0009-seed
structured logging	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
structured logging)	MATCH	sig-instrumentation	catalog
supply-chain security policy (posture	MATCH	sig-security	catalog
taints/tolerations	MATCH	sig-scheduling	catalog
test-infra	MATCH	sig-contributor-experience	catalog
testgrid	MATCH	sig-testing	catalog
third-party audits	MATCH	sig-security	catalog
threat modeling	MATCH	sig-security	catalog
tls bootstrap	MATCH	sig-cluster-lifecycle	catalog
token	MATCH	sig-auth	handwritten:lep-0009-seed
token	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
token	NOT_MATCH	sig-node	handwritten:lep-0009-seed
topology spread	MATCH	sig-scheduling	catalog
topology spread	MATCH	sig-scheduling	handwritten:lep-0009-seed
topology spread	NOT_MATCH	sig-node	handwritten:lep-0009-seed
tracing	MATCH	sig-instrumentation	handwritten:lep-0009-seed
tracing	NOT_MATCH	sig-api-machinery	handwritten:lep-0009-seed
tracing (opentelemetry)	MATCH	sig-instrumentation	catalog
upgrade	MATCH	sig-etcd	catalog
validating/mutating webhooks	MATCH	sig-api-machinery	catalog
versioning	MATCH	sig-api-machinery	catalog
verticalpodautoscaler (vpa)	MATCH	sig-autoscaling	catalog
volume	MATCH	sig-storage	handwritten:lep-0009-seed
volume	NOT_MATCH	sig-node	handwritten:lep-0009-seed
volume expansion	MATCH	sig-storage	catalog
volumemanager	MATCH	sig-storage	handwritten:lep-0009-seed
volumemanager	NOT_MATCH	sig-node	handwritten:lep-0009-seed
volumes	MATCH	sig-storage	catalog
vpa	MATCH	sig-autoscaling	handwritten:lep-0009-seed
vpa	NOT_MATCH	sig-apps	handwritten:lep-0009-seed
watch	MATCH	sig-api-machinery	catalog
watch from the etcd side	MATCH	sig-etcd	catalog
windows nodes and windows containers	MATCH	sig-windows	catalog
windows-specific kube-proxy/cni/kubelet behavior	MATCH	sig-windows	catalog
zones)	MATCH	sig-cloud-provider	catalog
